"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 07:46:10 UTC 2024","Thu Mar 28 07:47:13 UTC 2024","63253","Local Test Suite","Local Tests","sanity.hamleys.SanityHamleysCheckoutWithLoginUser","sanity.hamleys.SanityHamleysCheckoutWithLoginUser","testHanleysCheckoutLoginUser","Hamleys Web Application Navigation","This Test is used to Verify the login with Valid Credentials"
"passed","Thu Apr 04 12:54:23 UTC 2024","Thu Apr 04 12:55:59 UTC 2024","95582","Local Test Suite","Local Tests","sanity.hamleys.SanityHamleysAddProductToWishlist","sanity.hamleys.SanityHamleysAddProductToWishlist","testAddProductToWishlist","Hamleys verify Wishlist Product from with login","This Test is used to Verify the wishlist product with Valid Credentials"
